query,chapter,chapterid,relevance
How do the ten commandments apply today?,Deuteronomy 8,161,4
How do the ten commandments apply today?,Joel 2,878,2
How do the ten commandments apply today?,Deuteronomy 9,162,4
How do the ten commandments apply today?,Psalms 19,497,4
How do the ten commandments apply today?,Joshua 1,188,4
How do the ten commandments apply today?,Nehemiah 1,414,4
How do the ten commandments apply today?,Psalms 110,588,1
How do the ten commandments apply today?,Deuteronomy 31,184,5
How do the ten commandments apply today?,Joshua 4,191,1
How do the ten commandments apply today?,Exodus 35,85,1
How do the ten commandments apply today?,Exodus 21,71,1
How do the ten commandments apply today?,Deuteronomy 6,159,5
How do the ten commandments apply today?,Ezekiel 8,810,1
How do the ten commandments apply today?,Mark 4,961,1
How do the ten commandments apply today?,Deuteronomy 30,183,5
How do the ten commandments apply today?,Joshua 18,205,1
How do the ten commandments apply today?,Nahum 1,901,2
How do the ten commandments apply today?,Matthew 20,949,1
How do the ten commandments apply today?,Acts 4,1022,2
How do the ten commandments apply today?,Deuteronomy 10,163,5
How do the ten commandments apply today?,Judges 1,212,1
How do the ten commandments apply today?,Deuteronomy 27,180,5
How do the ten commandments apply today?,Psalms 90,568,1
How do the ten commandments apply today?,Deuteronomy 28,181,5
How do the ten commandments apply today?,1 Thessalonians 4,1115,4
How do the ten commandments apply today?,Micah 4,897,1
How do the ten commandments apply today?,Ezekiel 20,822,4
How do the ten commandments apply today?,Psalms 111,589,1
How do the ten commandments apply today?,Daniel 12,862,2
How do the ten commandments apply today?,Joshua 3,190,1
How do the ten commandments apply today?,Zechariah 14,925,3
How do the ten commandments apply today?,Genesis 19,19,1
How do the ten commandments apply today?,Exodus 34,84,5
How do the ten commandments apply today?,2 Corinthians 6,1084,4
How do the ten commandments apply today?,Psalms 20,498,1
How do the ten commandments apply today?,Leviticus 23,113,3
How do the ten commandments apply today?,Amos 8,887,3
How do the ten commandments apply today?,Ezekiel 24,826,3
How do the ten commandments apply today?,Exodus 13,63,1
How do the ten commandments apply today?,Job 2,438,2
How do the ten commandments apply today?,1 Kings 2,293,1
How do the ten commandments apply today?,Joshua 14,201,1
How do the ten commandments apply today?,Proverbs 7,635,4
How do the ten commandments apply today?,Habakkuk 2,905,4
How do the ten commandments apply today?,Numbers 34,151,1
How do the ten commandments apply today?,Psalms 97,575,5
How do the ten commandments apply today?,Malachi 2,927,4
How do the ten commandments apply today?,Jonah 3,892,4
How do the ten commandments apply today?,Exodus 4,54,1
How do the ten commandments apply today?,Revelation 20,1187,1
How do the ten commandments apply today?,Exodus 20,70,5
How do the ten commandments apply today?,Deuteronomy 5,158,5
How do the ten commandments apply today?,Matthew 5,934,5
How do the ten commandments apply today?,Romans 13,1059,5
How do the ten commandments apply today?,James 2,1148,5
How do the ten commandments apply today?,1 John 5,1164,5
How do the ten commandments apply today?,Psalms 119,597,5
How do the ten commandments apply today?,Romans 7,1053,4
How do the ten commandments apply today?,Psalms 1,479,4
How do the ten commandments apply today?,Psalms 15,493,3
How do the ten commandments apply today?,Micah 6,899,3
How do the ten commandments apply today?,Leviticus 19,109,4
How do the ten commandments apply today?,Isaiah 5,684,3
How do the ten commandments apply today?,Amos 5,884,4
How do the ten commandments apply today?,Matthew 19,948,4
How do the ten commandments apply today?,Luke 10,983,5
How do the ten commandments apply today?,Ephesians 6,1103,5
How do the ten commandments apply today?,Hebrews 4,1137,3
How do the ten commandments apply today?,James 4,1150,5
How do the ten commandments apply today?,Joshua 24,211,3
How do the ten commandments apply today?,Psalms 8,486,2
How do the ten commandments apply today?,Ecclesiastes 12,671,3
How do the ten commandments apply today?,Jeremiah 6,751,2
How do the ten commandments apply today?,Ezekiel 18,820,2
How do the ten commandments apply today?,Matthew 6,935,4
How do the ten commandments apply today?,Luke 12,985,3
How do the ten commandments apply today?,Acts 5,1023,2
How do the ten commandments apply today?,Romans 12,1058,5
How do the ten commandments apply today?,Galatians 5,1096,4
How do the ten commandments apply today?,Ephesians 5,1102,4
How do the ten commandments apply today?,Colossians 3,1110,5
How do the ten commandments apply today?,James 1,1147,3
How do the ten commandments apply today?,Numbers 14,131,2
How do the ten commandments apply today?,Deuteronomy 32,185,2
How do the ten commandments apply today?,Judges 2,213,2
How do the ten commandments apply today?,Psalms 37,515,2
How do the ten commandments apply today?,Proverbs 1,629,2
How do the ten commandments apply today?,Ecclesiastes 3,662,1
How do the ten commandments apply today?,Isaiah 40,719,2
How do the ten commandments apply today?,Jeremiah 1,746,2
How do the ten commandments apply today?,Lamentations 3,800,2
How do the ten commandments apply today?,Luke 15,988,2
How do the ten commandments apply today?,Acts 2,1020,2
How do the ten commandments apply today?,Romans 1,1047,2
How do the ten commandments apply today?,Galatians 3,1094,3
How do the ten commandments apply today?,Hebrews 11,1144,2
