query,chapter,chapterid,relevance
What did God do to unloyal servants?,Psalms 107,585,5
What did God do to unloyal servants?,Acts 14,1032,1
What did God do to unloyal servants?,Luke 10,983,4
What did God do to unloyal servants?,Luke 19,992,4
What did God do to unloyal servants?,2 Peter 2,1158,5
What did God do to unloyal servants?,Psalms 82,560,2
What did God do to unloyal servants?,Isaiah 31,710,5
What did God do to unloyal servants?,Colossians 3,1110,1
What did God do to unloyal servants?,1 Peter 4,1155,3
What did God do to unloyal servants?,Luke 20,993,1
What did God do to unloyal servants?,Exodus 36,86,1
What did God do to unloyal servants?,Colossians 4,1111,1
What did God do to unloyal servants?,Zechariah 10,921,1
What did God do to unloyal servants?,Mark 12,969,1
What did God do to unloyal servants?,Acts 5,1023,5
What did God do to unloyal servants?,2 Corinthians 5,1083,1
What did God do to unloyal servants?,Jeremiah 10,755,5
What did God do to unloyal servants?,2 Kings 12,325,3
What did God do to unloyal servants?,Genesis 9,9,1
What did God do to unloyal servants?,Isaiah 46,725,1
What did God do to unloyal servants?,Jude 1,1167,5
What did God do to unloyal servants?,Job 1,437,1
What did God do to unloyal servants?,Luke 16,989,2
What did God do to unloyal servants?,Genesis 39,39,1
What did God do to unloyal servants?,Hebrews 9,1142,1
What did God do to unloyal servants?,1 Timothy 6,1125,3
What did God do to unloyal servants?,Isaiah 24,703,5
What did God do to unloyal servants?,Luke 13,986,4
What did God do to unloyal servants?,Isaiah 10,689,5
What did God do to unloyal servants?,2 Chronicles 12,379,5
What did God do to unloyal servants?,Romans 12,1058,1
What did God do to unloyal servants?,Micah 7,900,4
What did God do to unloyal servants?,Acts 9,1027,2
What did God do to unloyal servants?,Genesis 44,44,2
What did God do to unloyal servants?,Romans 6,1052,1
What did God do to unloyal servants?,Leviticus 14,104,1
What did God do to unloyal servants?,Exodus 9,59,2
What did God do to unloyal servants?,Psalms 106,584,4
What did God do to unloyal servants?,Job 32,468,1
What did God do to unloyal servants?,Matthew 20,949,1
What did God do to unloyal servants?,Jeremiah 18,763,2
What did God do to unloyal servants?,Amos 9,888,4
What did God do to unloyal servants?,Mark 14,971,1
What did God do to unloyal servants?,Judges 2,213,5
What did God do to unloyal servants?,Psalms 118,596,1
What did God do to unloyal servants?,Exodus 37,87,1
What did God do to unloyal servants?,Genesis 13,13,1
What did God do to unloyal servants?,Nahum 1,901,5
What did God do to unloyal servants?,Psalms 134,612,1
What did God do to unloyal servants?,Galatians 4,1095,4
What did God do to unloyal servants?,Luke 17,990,5
What did God do to unloyal servants?,Matthew 18,947,4
What did God do to unloyal servants?,Jeremiah 19,764,4
