query,chapter,chapterid,relevance
Who does God want us to reach out to?,Psalms 95,573,2
Who does God want us to reach out to?,Deuteronomy 13,166,1
Who does God want us to reach out to?,Psalms 130,608,1
Who does God want us to reach out to?,Psalms 54,532,1
Who does God want us to reach out to?,1 Samuel 6,242,1
Who does God want us to reach out to?,1 Thessalonians 4,1115,3
Who does God want us to reach out to?,Luke 11,984,2
Who does God want us to reach out to?,Hebrews 6,1139,1
Who does God want us to reach out to?,Ephesians 4,1101,3
Who does God want us to reach out to?,Matthew 11,940,4
Who does God want us to reach out to?,2 Thessalonians 3,1119,2
Who does God want us to reach out to?,Psalms 24,502,1
Who does God want us to reach out to?,James 1,1147,4
Who does God want us to reach out to?,2 Thessalonians 2,1118,2
Who does God want us to reach out to?,Psalms 20,498,1
Who does God want us to reach out to?,Matthew 21,950,2
Who does God want us to reach out to?,Psalms 70,548,1
Who does God want us to reach out to?,1 Samuel 10,246,1
Who does God want us to reach out to?,1 Thessalonians 3,1114,1
Who does God want us to reach out to?,Psalms 57,535,1
Who does God want us to reach out to?,1 John 4,1163,4
Who does God want us to reach out to?,Psalms 47,525,1
Who does God want us to reach out to?,John 17,1014,5
Who does God want us to reach out to?,1 Samuel 23,259,1
Who does God want us to reach out to?,Revelation 1,1168,1
Who does God want us to reach out to?,Psalms 46,524,1
Who does God want us to reach out to?,Psalms 123,601,1
Who does God want us to reach out to?,Matthew 17,946,2
Who does God want us to reach out to?,Psalms 116,594,1
Who does God want us to reach out to?,Psalms 17,495,1
Who does God want us to reach out to?,John 7,1004,1
Who does God want us to reach out to?,Colossians 1,1108,4
Who does God want us to reach out to?,1 Chronicles 13,351,1
Who does God want us to reach out to?,2 Corinthians 9,1087,4
Who does God want us to reach out to?,2 Kings 2,315,1
Who does God want us to reach out to?,1 Thessalonians 1,1112,5
Who does God want us to reach out to?,Psalms 82,560,5
Who does God want us to reach out to?,Psalms 42,520,1
Who does God want us to reach out to?,Acts 3,1021,2
Who does God want us to reach out to?,2 Corinthians 4,1082,4
Who does God want us to reach out to?,Acts 10,1028,5
Who does God want us to reach out to?,1 Corinthians 16,1078,1
Who does God want us to reach out to?,1 Corinthians 12,1074,3
Who does God want us to reach out to?,Colossians 4,1111,1
Who does God want us to reach out to?,Hebrews 4,1137,2
Who does God want us to reach out to?,Mark 1,958,3
Who does God want us to reach out to?,Mark 8,965,2
Who does God want us to reach out to?,Psalms 100,578,1
Who does God want us to reach out to?,Psalms 67,545,4
Who does God want us to reach out to?,2 Thessalonians 1,1117,1
Who does God want us to reach out to?,Matthew 28,957,5
Who does God want us to reach out to?,Acts 1,1019,5
Who does God want us to reach out to?,Mark 16,973,5
Who does God want us to reach out to?,Luke 24,997,5
Who does God want us to reach out to?,Jonah 1,890,5
Who does God want us to reach out to?,Jonah 3,892,5
Who does God want us to reach out to?,Jonah 4,893,5
Who does God want us to reach out to?,Leviticus 19,109,4
Who does God want us to reach out to?,Isaiah 58,737,4
Who does God want us to reach out to?,Micah 6,899,4
Who does God want us to reach out to?,Deuteronomy 10,163,5
Who does God want us to reach out to?,Matthew 25,954,5
Who does God want us to reach out to?,Luke 10,983,5
Who does God want us to reach out to?,Galatians 3,1094,5
Who does God want us to reach out to?,Isaiah 60,739,3
Who does God want us to reach out to?,Zechariah 8,919,4
Who does God want us to reach out to?,Acts 13,1031,4
Who does God want us to reach out to?,Romans 15,1061,4
Who does God want us to reach out to?,Ephesians 3,1100,4
Who does God want us to reach out to?,Hebrews 13,1146,3
Who does God want us to reach out to?,Isaiah 55,734,3
Who does God want us to reach out to?,Psalms 112,590,3
Who does God want us to reach out to?,Proverbs 19,647,3
Who does God want us to reach out to?,Luke 14,987,3
Who does God want us to reach out to?,John 4,1001,4
Who does God want us to reach out to?,Acts 4,1022,2
Who does God want us to reach out to?,Romans 12,1058,2
Who does God want us to reach out to?,Colossians 3,1110,3
