query,chapter,chapterid,relevance
What does God say about spirituality?,Psalms 20,498,1
What does God say about spirituality?,Romans 12,1058,5
What does God say about spirituality?,1 Corinthians 2,1064,5
What does God say about spirituality?,1 John 4,1163,5
What does God say about spirituality?,1 Timothy 4,1123,5
What does God say about spirituality?,1 Corinthians 12,1074,4
What does God say about spirituality?,Matthew 4,933,5
What does God say about spirituality?,Acts 19,1037,4
What does God say about spirituality?,Psalms 107,585,5
What does God say about spirituality?,Luke 4,977,5
What does God say about spirituality?,Hebrews 11,1144,4
What does God say about spirituality?,Psalms 118,596,5
What does God say about spirituality?,Luke 11,984,5
What does God say about spirituality?,Colossians 1,1108,5
What does God say about spirituality?,1 John 5,1164,5
What does God say about spirituality?,Romans 10,1056,1
What does God say about spirituality?,1 Kings 19,310,5
What does God say about spirituality?,Revelation 1,1168,1
What does God say about spirituality?,Hebrews 6,1139,4
What does God say about spirituality?,Luke 20,993,1
What does God say about spirituality?,Psalms 143,621,5
What does God say about spirituality?,Genesis 1,1,5
What does God say about spirituality?,Philippians 1,1104,4
What does God say about spirituality?,2 Thessalonians 1,1117,4
What does God say about spirituality?,Jude 1,1167,3
What does God say about spirituality?,Colossians 4,1111,1
What does God say about spirituality?,John 3,1000,5
What does God say about spirituality?,Jonah 2,891,5
What does God say about spirituality?,Genesis 35,35,1
What does God say about spirituality?,Psalms 46,524,5
What does God say about spirituality?,Psalms 3,481,1
What does God say about spirituality?,1 Timothy 2,1121,4
What does God say about spirituality?,2 Corinthians 1,1079,1
What does God say about spirituality?,Psalms 106,584,1
What does God say about spirituality?,Psalms 32,510,1
What does God say about spirituality?,Psalms 115,593,1
What does God say about spirituality?,1 Thessalonians 3,1114,4
What does God say about spirituality?,1 Peter 5,1156,5
What does God say about spirituality?,1 Thessalonians 1,1112,4
What does God say about spirituality?,Ephesians 4,1101,5
What does God say about spirituality?,Acts 3,1021,4
What does God say about spirituality?,2 Corinthians 4,1082,5
What does God say about spirituality?,Psalms 77,555,1
What does God say about spirituality?,Hebrews 8,1141,1
What does God say about spirituality?,Luke 1,974,4
What does God say about spirituality?,Romans 1,1047,3
What does God say about spirituality?,1 Thessalonians 4,1115,1
What does God say about spirituality?,Isaiah 35,714,4
What does God say about spirituality?,Matthew 28,957,5
What does God say about spirituality?,Philippians 2,1105,5
What does God say about spirituality?,2 Kings 2,315,5
What does God say about spirituality?,Psalms 42,520,5
What does God say about spirituality?,Deuteronomy 30,183,5
What does God say about spirituality?,Numbers 27,144,5
What does God say about spirituality?,1 Samuel 16,252,5
What does God say about spirituality?,1 Samuel 10,246,5
What does God say about spirituality?,John 15,1012,5
What does God say about spirituality?,Acts 8,1026,5
What does God say about spirituality?,Genesis 2,2,5
What does God say about spirituality?,Exodus 33,83,5
What does God say about spirituality?,Exodus 34,84,5
What does God say about spirituality?,Deuteronomy 6,159,4
What does God say about spirituality?,Psalms 1,479,5
What does God say about spirituality?,Psalms 23,501,5
What does God say about spirituality?,Isaiah 6,685,5
What does God say about spirituality?,Isaiah 55,734,5
What does God say about spirituality?,Jeremiah 31,776,5
What does God say about spirituality?,Matthew 5,934,4
What does God say about spirituality?,Matthew 6,935,5
What does God say about spirituality?,Matthew 7,936,4
What does God say about spirituality?,John 14,1011,5
What does God say about spirituality?,John 16,1013,5
What does God say about spirituality?,Acts 2,1020,5
What does God say about spirituality?,Romans 8,1054,5
What does God say about spirituality?,Ephesians 1,1098,5
What does God say about spirituality?,Colossians 3,1110,5
What does God say about spirituality?,Hebrews 4,1137,5
What does God say about spirituality?,James 1,1147,5
What does God say about spirituality?,Revelation 21,1188,4
What does God say about spirituality?,Revelation 22,1189,5
What does God say about spirituality?,Genesis 3,3,3
What does God say about spirituality?,Exodus 19,69,4
What does God say about spirituality?,Exodus 20,70,4
What does God say about spirituality?,Psalms 51,529,4
What does God say about spirituality?,Isaiah 40,719,4
What does God say about spirituality?,Ecclesiastes 12,671,3
What does God say about spirituality?,Matthew 18,947,3
What does God say about spirituality?,John 4,1001,4
What does God say about spirituality?,Acts 9,1027,4
What does God say about spirituality?,Exodus 32,82,2
What does God say about spirituality?,Joshua 7,194,2
What does God say about spirituality?,Ruth 4,236,4
What does God say about spirituality?,Ruth 3,235,4
What does God say about spirituality?,Ruth 2,234,4
What does God say about spirituality?,Ruth 1,233,3
What does God say about spirituality?,Psalms 19,497,3
What does God say about spirituality?,Proverbs 3,631,3
What does God say about spirituality?,Daniel 3,853,4
What does God say about spirituality?,Habakkuk 3,906,3
What does God say about spirituality?,Matthew 13,942,3
What does God say about spirituality?,Luke 10,983,3
What does God say about spirituality?,Acts 5,1023,3
What does God say about spirituality?,Romans 13,1059,3
What does God say about spirituality?,Galatians 6,1097,3
What does God say about spirituality?,James 2,1148,3
What does God say about spirituality?,Revelation 2,1169,3
What does God say about spirituality?,Revelation 3,1170,3
What does God say about spirituality?,Genesis 10,10,2
What does God say about spirituality?,Leviticus 11,101,3
What does God say about spirituality?,Numbers 2,119,2
What does God say about spirituality?,Esther 8,434,4
What does God say about spirituality?,Ezra 2,405,2
What does God say about spirituality?,Acts 7,1025,2
What does God say about spirituality?,Romans 16,1062,2
What does God say about spirituality?,Philemon 1,1133,3
What does God say about spirituality?,Revelation 7,1174,2
